457 9803
433 237 58
189 260 65
172 430 4
406 60 75
457 372 20
390 424 33
315 193 39
386 271 52
100 454 50
314 427 27
8 253 26
379 104 18
395 198 51
331 385 91
278 317 92
344 381 89
182 398 2
122 55 22
137 139 39
100 122 92
185 220 55
383 284 96
371 244 8
202 159 69
302 448 67
322 79 64
221 375 47
190 274 64
396 143 89
261 394 1
26 265 50
302 201 81
198 439 97
23 337 20
326 101 36
46 238 33
280 49 94
232 78 77
341 427 80
396 288 48
190 361 6
248 191 43
307 247 88
110 103 94
442 259 7
150 69 72
176 427 55
421 226 47
441 217 72
120 431 2
400 425 45
412 323 10
146 216 5
34 59 20
341 4 35
53 349 36
8 180 46
93 3 91
117 252 80
287 134 67
246 319 47
256 219 24
254 267 90
358 166 82
451 357 30
274 150 12
302 22 66
387 157 88
143 112 22
105 314 11
95 86 39
339 448 70
280 395 87
15 232 11
443 366 56
293 99 56
205 216 100
140 139 70
421 92 10
25 191 90
232 125 93
298 319 99
198 259 60
87 76 1
158 441 21
91 165 50
50 161 93
100 121 81
138 8 88
386 275 8
232 259 57
115 339 91
206 192 24
455 335 71
371 194 65
12 326 2
202 430 42
413 305 79
240 71 94
352 447 33
437 69 26
241 129 44
370 93 21
357 342 97
181 249 98
211 166 18
253 232 7
65 433 32
96 355 26
156 88 94
39 384 3
106 309 73
224 127 66
80 384 8
454 362 43
264 64 52
28 98 48
283 259 27
163 322 62
111 456 70
413 67 34
394 284 44
12 74 11
64 356 86
28 291 43
27 335 93
316 392 55
70 430 91
340 308 5
277 113 31
230 157 86
47 44 18
211 370 37
150 49 65
380 359 48
389 240 60
224 269 95
33 347 91
281 71 33
48 215 17
165 200 28
267 193 76
10 418 72
365 155 31
395 400 77
26 352 59
426 191 72
204 103 61
158 348 23
323 292 43
53 334 63
164 39 100
250 147 26
194 217 89
33 288 56
386 135 25
345 198 80
126 223 31
1 317 5
14 150 97
422 298 3
380 223 25
311 194 41
241 301 34
113 457 67
202 374 35
358 170 19
67 26 61
237 387 48
284 338 67
219 17 62
150 67 50
282 101 4
93 347 10
407 159 20
274 394 48
128 410 69
336 333 86
371 259 36
451 164 26
115 435 34
22 162 26
349 335 39
199 437 18
408 125 92
318 332 87
357 316 71
23 360 84
66 451 89
242 405 29
101 165 85
250 153 33
353 80 56
127 285 65
103 175 37
457 378 67
281 397 37
284 374 9
198 394 62
23 137 93
5 357 32
313 455 80
146 425 50
404 112 74
125 446 27
58 382 71
16 63 45
159 260 71
75 296 66
131 431 86
321 22 61
445 183 72
16 91 45
164 123 16
237 191 31
268 407 74
77 346 47
115 170 2
186 141 37
244 395 50
294 229 33
213 122 75
7 20 76
170 193 30
422 218 33
10 289 74
47 396 89
205 313 24
309 300 64
128 441 77
198 88 25
409 400 99
229 153 11
324 420 67
67 73 14
261 385 37
279 403 98
213 107 12
348 36 28
178 320 39
73 124 27
263 53 36
9 114 70
14 419 24
169 283 23
189 17 18
70 46 93
385 384 35
61 310 83
41 10 67
157 150 91
245 277 35
372 357 74
73 387 76
424 431 36
450 239 51
96 141 41
90 414 74
360 215 81
444 423 90
363 311 95
223 361 58
44 142 98
244 20 71
211 376 1
207 119 77
52 104 82
265 322 5
374 76 22
215 257 15
196 176 100
56 213 14
190 429 96
258 280 76
320 419 15
260 127 55
378 64 96
317 293 28
5 368 79
445 447 77
205 265 63
290 110 47
58 428 47
100 184 47
140 78 60
192 12 67
181 315 36
21 116 35
222 107 41
332 298 57
445 268 65
441 77 3
83 384 79
93 6 89
65 393 30
142 135 92
234 25 46
283 189 66
161 203 21
107 389 71
447 405 22
72 217 4
216 232 100
353 55 97
133 382 61
238 228 43
225 452 46
316 264 19
271 273 81
134 180 18
2 263 4
280 300 25
104 244 72
77 415 35
93 59 23
67 101 86
46 5 35
322 428 28
208 75 58
36 115 88
295 219 21
332 370 12
157 284 35
243 74 14
86 247 40
17 98 6
264 329 90
396 134 28
318 5 37
280 168 66
95 23 40
156 202 51
65 198 69
5 123 96
289 214 93
286 147 10
167 211 14
342 57 41
243 359 19
260 149 62
48 420 1
107 36 89
123 167 79
112 41 72
19 208 86
401 6 73
433 263 6
240 314 82
87 122 12
341 247 86
449 387 21
64 274 82
298 141 62
201 117 84
3 100 90
329 220 9
308 444 75
139 390 2
147 178 29
441 353 37
283 426 14
9 103 6
332 241 97
12 344 26
75 174 90
96 296 21
122 188 66
158 49 5
79 218 46
387 340 27
262 199 1
440 139 21
415 196 47
339 398 35
260 412 83
238 397 80
225 102 12
160 446 51
132 370 9
82 69 75
63 451 8
444 287 5
256 178 58
314 391 87
29 248 68
426 110 29
65 108 48
232 299 67
191 136 52
152 312 3
155 32 56
282 332 1
349 279 45
32 346 1
30 142 89
96 447 68
88 96 92
40 246 44
350 293 63
188 79 98
138 18 16
150 257 40
252 190 50
190 27 2
301 266 44
56 446 60
449 100 10
344 241 64
13 95 74
408 375 40
65 21 17
281 300 14
341 235 79
157 1 33
328 169 37
299 98 2
411 107 15
6 95 11
347 226 43
198 183 15
66 178 21
247 333 24
39 295 21
370 82 84
93 287 55
172 384 63
393 311 39
101 51 90
186 34 98
127 448 32
364 278 20
358 331 26
73 159 86
255 125 49
41 360 87
389 189 62
245 66 94
419 332 99
411 190 27
318 384 100
120 243 49
119 103 47
292 401 72
439 215 46
282 176 86
415 236 50
306 135 59
164 241 61
361 80 46
268 224 32
368 108 79
15 241 9
207 177 23
282 346 47
237 453 69
426 10 50
417 87 4
415 343 72
332 316 38
17 193 65
127 297 49
317 30 53
162 39 78
32 414 36
252 245 98
196 403 71
173 176 9
278 383 62
15 376 27
198 13 26
302 261 21
307 234 48
226 287 42
287 194 84
242 274 100
434 158 77
244 330 71
65 345 94
152 298 31
395 266 100
16 164 44
312 327 71
402 114 59
228 235 41
273 143 89
239 240 33
168 194 62
445 38 61
80 19 61
451 335 23
110 344 95
58 405 44
247 121 51
360 9 88
214 95 52
15 72 49
37 443 13
57 83 74
4 309 40
345 124 19
80 255 98
429 216 69
274 295 87
420 382 22
127 33 27
238 448 43
51 448 16
356 71 60
57 409 54
422 434 84
424 49 72
374 455 82
385 412 77
380 33 69
335 81 5
290 134 97
83 361 45
277 255 84
436 420 93
444 54 23
53 305 35
381 16 98
370 49 94
421 232 50
390 300 95
385 376 93
348 415 46
331 119 41
405 108 98
76 91 52
413 367 29
236 114 36
144 296 1
25 62 26
124 107 63
322 365 56
171 400 81
348 208 76
14 444 4
194 84 97
258 407 11
356 93 45
251 380 14
315 374 55
73 341 39
55 421 89
345 254 85
317 434 79
235 237 6
284 358 94
233 433 72
92 452 18
281 320 21
50 142 41
129 169 40
219 295 46
75 412 82
317 85 75
392 226 65
78 184 83
108 92 10
159 88 61
207 72 95
60 15 89
154 443 85
88 28 53
240 344 51
359 360 28
14 201 28
238 46 43
386 140 3
227 287 44
372 332 3
124 217 35
270 109 52
244 115 50
206 319 50
312 306 77
160 369 15
208 139 39
334 222 12
330 221 96
115 270 39
257 104 73
273 149 6
364 177 70
185 66 69
211 188 51
104 398 28
185 261 63
179 291 62
188 450 89
408 190 30
47 43 32
280 187 49
82 240 81
426 298 20
49 317 61
336 112 44
409 78 37
309 383 78
180 134 1
279 224 21
300 275 69
114 392 67
124 65 69
154 155 67
3 82 38
314 307 78
310 166 21
45 151 45
111 340 23
270 197 35
60 375 50
7 437 3
224 355 26
265 262 49
228 64 94
27 133 63
296 62 27
160 190 17
411 169 38
409 393 43
63 37 4
202 13 85
250 233 40
263 190 23
86 1 81
112 255 31
240 266 32
306 368 66
366 286 72
440 437 27
399 348 53
156 415 70
108 433 67
415 89 75
63 290 58
77 64 81
242 215 30
53 138 60
375 127 37
219 82 54
333 115 67
35 300 54
80 223 60
135 58 8
39 421 62
307 451 24
358 291 60
374 327 63
84 143 20
159 216 47
274 10 42
316 275 5
191 344 48
377 101 40
183 290 1
319 364 25
73 243 44
204 30 66
328 206 22
289 191 93
29 393 23
107 402 17
314 192 57
15 71 58
321 68 20
211 197 72
91 270 47
252 436 3
15 338 75
316 436 6
444 92 39
98 252 65
351 354 11
57 201 98
353 424 29
87 172 67
29 384 93
212 100 49
341 310 95
237 296 79
439 351 83
171 238 27
367 249 97
335 361 82
436 110 52
139 231 73
158 82 17
383 101 63
450 402 98
441 204 36
113 327 34
446 142 57
166 191 62
40 415 89
285 107 72
319 265 62
55 170 1
5 188 64
218 329 5
321 351 92
23 434 82
395 383 70
356 451 33
414 366 72
323 244 42
294 371 81
134 149 39
150 170 61
24 307 29
161 435 62
313 266 8
20 322 53
193 149 34
296 287 65
114 92 55
413 21 56
404 152 66
130 86 82
119 80 18
406 250 61
264 67 85
2 413 56
34 226 85
87 277 33
139 416 14
211 361 100
65 449 30
341 52 62
106 443 16
26 126 27
216 270 10
358 385 57
271 431 38
22 423 70
392 449 10
110 283 68
147 197 47
443 369 98
257 300 60
128 364 48
205 47 73
123 389 24
63 346 33
250 326 43
329 236 60
264 257 82
171 58 66
217 387 11
70 199 53
104 394 7
453 170 8
355 86 64
133 92 16
319 131 30
151 427 69
11 139 27
260 133 54
198 308 53
97 368 55
133 405 72
282 249 71
435 220 48
282 377 45
121 104 88
366 453 52
118 7 39
337 316 78
328 448 51
113 115 69
432 33 84
215 348 73
28 109 76
377 20 87
284 15 3
450 191 77
128 82 60
113 372 93
199 35 49
445 347 71
143 430 97
45 42 67
296 264 4
93 359 16
313 142 68
257 249 83
106 160 73
300 33 46
154 306 47
49 253 31
442 447 94
25 183 90
425 325 18
279 22 7
392 323 40
344 406 38
110 394 12
253 388 52
193 164 23
381 200 15
301 174 66
154 293 95
114 452 64
128 206 54
189 452 86
93 412 94
279 210 75
252 18 55
203 319 41
410 37 5
331 93 29
7 450 11
332 303 19
246 245 25
127 4 91
148 197 84
207 323 78
195 245 88
22 92 79
179 382 37
219 148 49
72 201 80
126 401 69
246 444 51
167 456 67
311 417 98
113 411 18
151 290 19
22 237 47
17 217 20
452 81 34
365 229 48
141 301 3
328 71 64
301 289 56
386 438 20
37 381 99
326 89 22
32 310 84
101 98 68
102 47 80
429 154 11
415 155 90
25 184 31
100 299 1
131 141 20
206 199 45
391 61 81
396 60 85
14 454 26
106 81 10
29 243 45
219 385 79
366 278 22
434 100 35
174 411 35
316 117 87
9 77 63
240 216 42
202 413 17
151 321 34
266 135 50
187 292 71
297 184 20
319 198 77
386 242 33
242 309 61
296 267 1
125 182 10
2 357 12
187 419 16
175 193 65
346 418 1
309 39 52
168 447 31
425 142 99
310 435 70
291 191 46
125 410 30
434 28 42
208 231 4
398 198 68
241 25 53
64 444 3
292 130 3
241 5 1
189 218 47
136 88 97
396 376 64
362 352 19
5 452 16
267 430 78
141 149 52
423 350 22
317 117 2
335 288 63
44 19 96
310 402 47
137 311 67
393 33 40
256 205 1
113 79 24
322 53 58
117 198 43
422 80 11
193 315 21
234 287 71
81 236 4
151 315 41
406 243 90
249 419 15
73 377 21
18 435 39
423 90 14
56 99 98
342 323 37
391 128 91
376 388 98
329 333 42
121 324 58
424 361 49
202 338 82
239 404 87
373 85 74
416 434 9
394 138 76
71 102 10
403 316 22
121 75 13
326 390 65
281 41 12
219 64 38
145 46 40
120 397 53
315 151 29
14 152 49
410 443 65
139 38 34
428 315 5
158 257 40
56 456 77
261 125 56
34 279 72
191 352 26
177 411 42
279 415 16
188 139 4
20 230 70
262 426 28
246 368 63
454 344 66
332 408 67
381 441 61
321 105 90
407 382 18
270 410 16
254 32 86
41 263 1
300 304 12
5 81 18
314 83 88
275 255 81
155 314 69
378 372 61
331 421 58
76 339 38
413 457 73
305 23 26
40 280 70
104 453 92
327 387 18
79 304 94
115 95 69
363 121 68
255 159 77
374 345 22
213 178 77
99 346 14
424 404 26
399 362 4
178 146 47
359 282 35
98 54 68
358 10 26
299 23 79
387 166 65
31 233 77
372 368 98
152 218 66
35 432 38
290 134 49
95 324 24
440 310 91
379 104 54
381 11 49
430 171 3
164 333 31
293 22 93
341 456 95
186 223 55
87 103 46
121 115 78
453 344 54
133 391 78
310 309 15
313 132 12
367 265 88
86 129 37
372 225 29
156 3 5
109 34 84
20 77 84
226 307 72
435 156 59
203 383 40
162 198 96
19 256 62
274 207 25
352 144 92
372 86 10
36 270 45
408 401 12
426 79 21
244 115 9
100 131 32
373 420 74
121 57 78
169 391 32
433 137 28
50 81 97
91 219 29
441 133 89
145 8 3
366 178 16
212 265 47
12 126 94
188 445 84
403 413 63
96 339 63
314 91 64
204 339 83
36 76 34
29 161 97
400 444 92
256 373 12
289 225 3
408 29 20
104 437 41
390 107 96
376 266 27
255 39 50
314 278 69
382 110 25
318 193 12
65 5 98
236 333 10
322 455 52
189 224 19
87 443 18
277 240 88
217 49 83
387 243 51
14 99 17
454 320 8
338 83 51
21 139 95
176 174 81
415 323 53
255 273 32
324 26 25
417 284 22
96 13 100
379 370 42
380 79 83
122 413 97
437 41 46
75 346 30
241 67 59
311 11 50
293 149 94
445 410 16
189 207 87
372 112 41
370 152 31
357 40 77
208 315 73
420 193 37
438 281 43
440 217 84
164 102 31
62 215 45
352 273 93
261 283 16
105 114 24
68 44 30
255 245 31
371 422 80
345 403 69
221 424 30
99 113 28
70 44 19
149 201 29
8 284 2
227 165 14
315 92 69
309 228 76
317 386 91
286 239 49
211 289 85
51 363 79
44 260 35
140 88 9
142 239 90
145 154 74
65 421 48
254 405 45
315 456 1
131 52 47
274 95 10
287 22 45
103 231 48
78 44 49
402 388 82
200 116 26
9 412 22
110 397 32
397 192 68
132 230 31
277 425 37
104 456 36
5 291 35
18 304 4
268 350 77
312 286 88
20 350 46
117 354 2
283 383 65
129 78 40
18 83 28
232 117 100
173 411 59
141 98 40
298 451 15
368 399 12
194 180 28
96 151 34
4 217 47
382 377 70
102 352 57
377 86 12
427 374 88
251 457 23
286 183 81
269 379 25
219 167 38
25 212 21
19 284 25
165 9 35
381 70 69
217 432 38
37 38 88
234 444 50
1 46 46
345 99 78
70 416 7
148 233 41
225 36 13
73 378 64
280 437 54
329 151 48
107 66 4
431 143 38
27 36 18
301 439 46
260 377 42
211 206 18
123 247 21
90 174 75
432 120 6
307 123 9
418 22 33
244 284 100
68 285 3
429 282 32
262 70 71
360 380 70
423 304 69
281 196 54
351 251 75
446 114 28
317 353 98
255 121 99
111 303 88
1 336 51
321 167 46
74 91 46
446 126 21
176 45 97
170 100 100
155 118 56
403 243 3
398 157 75
197 184 63
432 121 37
136 405 30
191 291 10
127 439 97
345 342 75
65 129 9
39 80 37
427 320 96
251 88 34
157 448 86
263 123 46
303 105 11
23 360 19
70 62 18
210 183 44
381 5 48
170 269 8
269 400 87
79 250 23
286 305 9
441 211 89
296 198 83
156 283 58
203 295 52
324 87 13
440 206 17
57 251 2
392 248 39
229 313 31
79 71 30
33 116 22
338 41 79
226 249 1
351 361 1
341 159 68
203 212 100
174 150 2
217 297 13
335 17 22
44 169 85
445 287 7
273 31 94
442 388 82
342 223 47
264 64 75
141 399 16
311 92 74
60 111 22
274 371 39
434 345 44
408 375 2
283 13 13
446 450 52
230 167 78
6 90 25
206 42 83
18 217 60
369 323 92
287 400 68
200 28 29
210 243 15
68 434 94
169 121 83
11 293 34
94 422 39
39 68 12
162 353 50
189 50 45
25 398 31
92 240 49
18 291 74
8 320 94
302 278 43
159 281 61
311 4 12
247 243 77
359 175 7
280 243 10
188 86 34
413 54 95
99 293 92
90 198 7
354 452 87
430 318 34
169 270 99
83 444 46
124 232 48
92 76 24
327 45 28
285 397 31
187 119 92
277 192 83
160 166 65
310 280 88
429 180 56
133 395 95
67 239 58
361 241 68
445 151 60
172 223 67
15 434 89
124 409 68
398 427 96
286 427 35
428 334 54
382 109 51
196 385 43
401 382 2
72 246 78
110 39 71
302 369 95
244 341 45
88 42 79
21 247 50
305 175 72
208 151 46
205 53 32
405 39 85
356 348 18
305 183 60
132 35 50
162 373 52
388 88 89
364 206 89
71 327 6
165 180 18
379 264 72
28 142 88
454 246 27
247 10 47
298 84 47
247 241 29
401 11 68
35 420 66
452 94 41
410 323 25
218 182 49
336 170 13
400 124 41
167 226 65
82 138 4
294 418 97
390 404 50
192 149 5
247 73 42
342 365 8
81 193 2
262 280 88
81 279 69
141 241 75
377 154 6
323 297 77
217 50 84
134 304 84
83 396 84
266 106 20
132 450 41
385 82 75
156 61 100
214 68 10
397 241 82
355 246 58
267 327 18
107 442 36
151 308 53
10 84 96
11 232 92
223 72 46
11 187 61
133 260 85
296 310 52
277 244 51
235 451 4
151 391 85
294 227 88
380 377 93
163 196 92
266 333 87
14 197 22
32 290 25
14 437 86
7 37 63
453 344 39
196 146 45
19 332 19
317 149 36
271 15 44
290 252 8
95 5 45
366 298 6
70 160 27
128 432 84
135 351 14
4 164 27
447 194 77
154 216 37
452 190 44
435 409 79
436 70 100
450 219 94
369 53 83
451 292 39
369 442 10
62 107 31
51 451 92
100 177 13
390 212 80
60 405 10
119 349 88
282 177 43
113 272 96
439 161 17
297 306 9
368 257 66
298 346 41
399 437 84
26 145 37
189 164 99
409 344 19
386 434 69
266 448 29
277 46 100
374 156 2
175 230 68
453 39 40
252 270 24
432 404 26
434 262 4
364 40 5
42 427 1
345 35 61
116 311 15
237 415 20
226 369 81
54 33 17
88 201 66
356 95 78
253 355 55
331 162 18
131 48 91
327 203 82
96 63 21
322 167 16
308 174 93
447 91 99
78 310 41
146 389 100
229 142 79
6 394 40
121 274 28
264 42 36
26 299 64
52 46 73
306 7 37
272 63 79
263 4 74
284 44 13
205 446 92
299 85 39
421 262 67
64 256 33
3 387 44
428 120 61
96 49 53
355 79 36
262 205 36
303 92 26
20 44 61
100 151 13
250 15 54
135 13 81
106 20 8
444 365 45
84 364 50
36 432 81
322 7 67
413 457 84
122 221 26
215 299 28
8 437 11
449 240 71
260 111 7
13 258 11
259 164 41
70 319 33
387 398 91
371 423 25
336 445 5
13 18 51
210 28 28
389 210 55
387 161 17
249 320 33
266 199 49
13 348 12
89 329 26
81 418 40
195 340 68
395 189 70
50 429 85
120 305 90
2 304 44
296 288 79
432 225 45
315 304 85
102 228 72
81 438 85
395 216 100
228 269 23
152 251 23
363 73 40
54 5 68
401 94 89
222 160 55
144 344 65
435 422 43
434 20 70
341 98 9
117 254 99
266 406 23
217 329 79
353 219 53
143 190 72
186 220 66
102 337 98
439 39 100
456 229 68
221 358 23
153 429 2
24 439 71
340 180 21
166 196 54
34 23 2
275 107 56
384 346 32
291 125 69
309 286 98
88 337 55
199 140 75
434 414 91
343 393 87
411 25 25
31 378 78
198 29 93
45 439 89
192 384 54
192 289 31
75 140 99
352 360 23
332 188 80
106 346 63
373 29 53
347 133 8
286 339 30
55 69 7
321 196 53
235 361 61
183 103 58
7 294 45
358 273 85
405 98 46
339 112 61
40 391 86
237 68 69
354 389 95
308 183 6
160 134 67
448 153 69
373 33 88
285 334 50
441 265 57
41 212 5
387 384 75
322 53 93
261 285 22
270 249 13
141 444 93
171 102 67
279 116 53
404 323 13
304 146 62
83 38 60
311 339 35
300 219 23
227 116 44
306 131 39
374 280 38
133 391 89
73 4 47
289 400 23
453 168 40
138 73 27
434 334 27
291 39 57
236 292 84
165 223 81
333 376 97
175 204 55
237 200 83
161 388 95
102 339 23
440 24 36
275 387 37
360 307 24
290 386 19
299 132 79
457 85 56
256 113 29
122 67 26
161 349 51
166 425 96
121 277 87
448 277 78
90 121 73
54 298 9
422 106 82
138 361 71
299 219 85
382 215 5
124 104 14
233 14 64
369 440 13
248 107 65
22 318 42
21 161 96
296 3 81
144 447 37
99 247 73
204 222 99
401 260 44
248 175 89
155 365 40
130 282 67
163 179 26
271 258 56
115 447 20
11 123 81
322 74 6
221 178 62
237 94 59
158 33 39
229 161 55
346 78 72
372 30 13
296 184 52
321 217 85
237 409 77
26 187 46
346 420 30
81 25 43
30 76 33
268 318 83
337 133 44
242 241 24
326 44 37
156 63 67
404 395 17
93 339 17
417 384 83
243 88 100
301 156 80
250 101 89
447 142 71
219 45 94
2 71 49
378 114 59
145 18 18
151 394 78
304 348 20
235 66 48
367 15 85
336 171 39
48 110 69
106 93 63
1 361 53
322 180 49
446 137 34
326 301 76
246 392 31
411 130 34
183 333 68
171 295 66
11 222 35
363 244 5
218 390 79
141 314 92
305 363 66
201 225 1
413 387 44
73 206 97
357 146 33
103 414 64
223 14 39
440 306 59
378 429 5
186 444 66
106 23 49
166 420 78
35 15 51
21 161 33
131 314 53
424 9 55
242 239 77
383 309 61
432 42 1
348 406 11
457 373 89
396 378 4
220 263 27
87 157 90
29 243 36
265 438 68
388 318 91
75 365 79
26 284 36
173 78 55
23 211 38
288 324 75
35 144 4
373 218 11
160 173 31
52 341 48
297 411 99
402 375 1
84 47 54
401 218 64
218 323 63
308 410 4
18 34 31
339 373 82
358 412 70
5 279 78
168 223 76
241 397 27
387 416 4
334 40 34
132 377 89
279 273 51
275 333 95
359 249 2
255 133 25
19 169 77
12 352 100
420 354 44
73 299 25
7 223 10
258 402 25
453 234 5
40 87 18
304 202 39
290 235 61
47 208 44
293 189 14
301 367 7
215 356 78
414 303 42
116 382 40
445 229 82
165 187 98
87 319 89
87 139 55
268 286 97
193 418 68
306 364 32
119 340 10
173 49 44
259 14 88
160 400 19
341 97 48
135 323 85
412 281 70
372 412 37
228 112 56
301 438 69
440 330 4
391 359 5
337 259 4
392 90 86
64 154 83
425 287 55
133 246 42
206 14 29
380 89 72
142 275 47
231 206 15
15 6 93
325 381 53
415 174 42
255 137 85
354 381 56
192 143 51
345 111 33
129 385 21
279 2 11
155 12 29
200 83 98
151 188 85
236 249 15
77 439 31
285 451 89
65 194 89
139 355 73
144 145 62
397 186 23
134 321 74
54 425 95
231 59 22
442 329 12
278 301 48
356 368 97
332 176 84
326 224 33
264 250 68
40 171 24
26 160 24
342 192 60
245 170 94
335 37 39
204 201 1
276 14 93
439 299 81
58 149 25
404 230 18
164 345 39
224 5 84
123 324 95
407 366 8
235 55 1
15 436 47
269 404 65
423 282 38
188 283 65
408 453 17
249 41 95
315 331 58
200 397 37
405 188 30
28 160 57
384 377 33
376 379 68
362 252 24
28 189 68
52 114 36
26 187 39
64 96 59
99 201 39
404 343 46
420 259 75
191 214 15
440 66 56
282 372 49
364 433 22
49 295 45
366 243 99
404 75 17
360 147 60
71 323 66
411 56 47
375 20 20
117 62 5
323 117 20
228 108 1
34 134 52
10 214 62
255 252 10
254 114 67
310 50 71
163 422 33
78 116 28
427 79 4
274 176 23
84 144 23
134 231 50
334 353 87
210 256 6
167 365 74
178 128 82
343 188 43
176 31 95
352 382 15
104 201 13
453 32 3
410 328 56
105 451 21
350 201 77
321 358 74
308 16 49
425 232 72
404 446 78
97 179 59
379 432 63
84 374 33
61 41 12
431 392 90
58 453 15
130 256 56
412 372 90
329 365 5
421 156 91
329 393 56
369 126 25
23 342 96
48 22 48
118 357 18
234 205 47
431 455 64
321 242 22
395 122 38
114 13 39
52 207 20
299 284 81
24 417 63
89 395 22
176 372 95
34 195 58
306 433 64
207 297 55
231 214 52
307 162 31
6 263 13
368 320 2
196 271 51
347 356 41
451 325 74
286 376 1
9 115 94
181 269 39
328 51 26
12 230 19
375 407 73
181 409 6
315 13 83
235 12 80
402 55 55
14 362 15
77 145 44
222 289 35
33 234 8
449 260 39
335 41 50
75 408 99
281 372 80
399 139 39
374 426 48
379 110 74
56 346 28
5 329 26
203 334 55
5 413 53
363 359 77
87 446 27
10 442 89
286 328 18
126 439 66
258 434 85
79 348 90
117 197 72
105 163 61
351 314 34
38 244 16
82 251 11
277 18 43
447 125 83
55 284 57
280 450 33
223 174 41
435 75 35
59 39 1
184 180 4
157 189 40
386 449 50
206 433 84
267 59 31
105 287 68
301 225 3
205 20 45
317 269 47
406 146 100
267 273 74
427 205 30
290 231 13
364 4 94
292 121 37
57 51 53
372 179 72
451 264 2
368 231 53
114 98 28
136 337 66
387 84 24
39 319 53
192 55 85
286 380 37
238 357 94
257 111 65
187 118 69
382 221 27
83 112 55
357 362 74
109 326 17
397 185 17
213 101 20
88 263 29
298 229 32
403 310 89
52 66 54
58 276 64
325 422 16
197 217 52
309 450 87
175 350 94
254 446 78
259 241 41
50 156 94
371 338 11
106 251 93
443 225 83
254 20 6
345 320 78
163 101 76
340 454 92
4 104 44
436 195 95
14 362 85
400 416 71
400 173 83
170 246 50
420 375 42
99 35 42
322 70 13
323 206 79
423 32 28
20 252 94
376 148 80
310 88 62
66 352 93
169 209 49
68 63 27
249 339 72
354 46 67
163 355 55
59 363 87
36 429 75
442 95 41
316 25 89
352 437 40
388 455 93
86 67 44
330 414 10
332 455 56
428 199 88
174 84 62
14 208 30
23 438 16
84 171 19
275 304 53
117 152 47
29 305 82
105 435 30
80 225 74
194 120 31
80 67 45
420 306 56
398 97 89
228 291 37
152 136 19
107 135 18
148 79 96
202 249 58
359 27 2
441 311 47
93 432 85
456 330 39
300 195 38
301 439 48
86 110 78
110 181 52
208 231 71
400 450 82
177 329 48
141 241 76
44 79 92
24 216 60
168 75 32
379 326 94
333 77 16
135 437 82
8 407 56
392 247 25
421 355 21
183 399 29
118 74 6
221 113 43
37 240 70
153 209 3
203 137 65
54 66 5
184 365 67
346 49 5
125 402 63
45 104 33
280 245 97
232 373 2
299 333 14
178 224 84
19 182 89
22 439 60
50 16 95
185 318 84
150 331 70
230 325 86
379 141 74
400 261 4
10 91 95
83 357 51
388 230 33
136 92 41
60 315 78
170 280 26
35 363 50
59 190 55
218 187 77
217 452 22
301 420 75
378 305 9
13 192 19
409 390 48
299 166 69
390 369 71
209 37 67
82 245 13
138 220 78
287 407 68
191 164 69
424 108 8
223 288 3
304 263 83
150 7 65
384 244 89
47 169 48
266 149 92
442 379 58
8 390 83
413 5 83
33 263 68
102 178 26
417 160 43
153 116 75
442 432 15
17 384 43
194 290 95
141 440 66
78 193 75
204 448 8
156 210 51
247 428 97
234 213 94
249 115 67
59 412 27
321 327 1
85 299 50
242 132 80
89 250 81
224 432 89
180 223 77
350 457 84
421 435 29
450 100 45
186 85 60
29 426 57
273 208 38
289 423 22
399 439 4
138 140 50
244 195 79
192 370 74
409 29 2
178 218 46
388 207 43
423 208 68
118 140 9
244 195 4
231 34 91
376 154 47
120 384 54
179 36 52
327 114 36
165 368 57
81 431 43
142 64 53
148 244 85
4 381 63
241 17 42
395 180 85
318 273 68
308 271 36
145 150 30
284 359 32
428 218 4
71 206 79
172 148 95
205 80 99
96 203 8
189 432 23
258 177 69
305 228 34
267 238 33
272 389 26
419 114 33
46 445 52
76 207 16
443 143 7
254 91 13
245 141 12
229 58 44
268 231 61
347 193 87
279 318 63
170 173 14
35 127 50
232 341 55
384 129 17
254 58 64
436 54 61
178 348 10
337 92 77
192 109 29
233 278 73
155 50 95
162 28 81
394 106 3
291 395 90
63 113 27
86 4 56
159 315 92
286 217 48
6 80 35
56 289 16
1 64 79
77 365 23
96 363 87
367 455 3
142 21 97
347 388 96
319 14 2
150 146 26
127 309 22
251 370 36
189 449 30
448 164 49
320 386 59
112 145 32
390 111 52
407 271 71
28 395 66
455 267 9
445 167 27
128 232 39
396 1 54
172 50 56
222 72 94
53 351 27
161 131 42
220 95 47
91 258 53
346 91 97
359 200 15
33 60 94
50 318 52
430 178 69
440 129 85
63 121 80
294 111 3
243 287 4
409 367 66
258 18 71
335 202 57
248 152 51
346 215 3
379 175 55
264 403 26
70 392 41
314 208 90
205 405 65
321 119 41
370 380 54
362 394 62
208 336 84
399 256 90
318 321 63
145 312 86
291 217 12
123 27 19
206 391 65
132 165 33
209 213 45
177 55 58
197 243 2
154 193 58
68 111 32
28 140 84
372 426 39
232 392 9
432 275 43
209 201 89
156 117 15
309 327 32
87 357 65
155 263 48
93 135 89
274 179 100
86 359 21
27 108 4
116 285 16
266 190 41
258 148 30
161 347 19
124 87 52
72 129 78
215 435 58
102 49 41
282 68 51
333 410 6
18 431 52
321 179 36
338 408 31
364 389 95
